"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Q1";"SOT-23-3";1;"Q_NPN_BEC";;;
2;"U1";"LGA28_5.2X3.8_CEV";1;"BNO085";;;
3;"U2";"PW20";1;"PCF8574APWR";;;
4;"U3";"HDC2010YPAR";1;"HDC2010YPAR";;;
5;"U4";"LTR-308ALS-01_LTO";1;"LTR-303ALS-01";;;
6;"U5";"MSOP10_MC_MCH";1;"MCP4728T-E/UN";;;
7;"U6";"SOP-4_L7.0-W7.0-P2.54-LS10.3-TL-CW_LWP040-PSGLC-S";1;"LWP040-PSGLC-S";;;
8;"U7";"VSSOP-10_3x3mm_P0.5mm";1;"ADS1015IDGSR";;;
9;"U8";"TSOT-23-8";1;"INA350ABSIDDFR";;;


10;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"Crystal_32.768kHz";;;
11;"C5,C4,C10,C11,C3,C1,C13,C8,C9";"C_0402_1005Metric";9;"1uF";;;
12;"C14,C15,C17,C16";"C_0402_1005Metric";4;"0.1uF";;;
13;"C6,C7";"C_0402_1005Metric";2;"22pF";;;
14;"C2";"C_0402_1005Metric";1;"100nF";;;

15;"R6,R7,R5,R10,R3,R4,R9";"R_0402_1005Metric";7;"100k";;;
16;"R1";"R_0402_1005Metric";1;"10k";;;
17;"R14,R15";"R_0402_1005Metric";2;"R";;;
18;"R11,R2,R12";"R_0402_1005Metric";3;"2.2k";;;

19;"D1";"LED_0201_0603Metric";1;"RED";;;
20;"D2";"LED_0201_0603Metric";1;"GRN";;;
